pid,old-pid,gid,unique gid,goaldisrupted,old-cid,goal-statement,Goal categories,cid,uniquecid,Goal scope,rep-id,Situation that occurred ,Duplicate?,notes- circumstance,barrier or event,circumstance,socio-ecological layer,socio_ecological,Repeating for another goal,Life Event?,Pre-existing?,how-long,notes,frequency,notes,,affect-wellbeing,affect-logistical,Disruption labor produced,Disruption labor produced,Disruption labor produced,affect-goal: how did circumstance affect your goal? (answer only if ,change- how did you change your goal in response to circumstance,Goal changes,notes,,,,,
S75,S78,goal2,S75goal2,,circ1,"Keeping active for the most part, walking or elliptical when seated",Physical Activity,circ1,S75goal2circ1,Medium term,,No disruption,No,,not enough information,NA,,No response,,,,No response,,No response,,,None,None,No response,,,No disruption,No modifications,No change,,,,,,
S75,S78,goal3,S75goal3,,circ1,Decluttering and organizing house,Cleaning/organizing,circ1,S75goal3circ1,Medium term,,No disruption,No,,not enough information,NA,,No response,,,,No response,,No response,,,None,None,No response,,,No disruption none,Every day I do a bit of decluttering,No change,,,,,,
S76,S79,goal1,S76goal1,,circ2,Weight loss,Weight management,circ2,S76goal1circ2,Long term,,Diet,No,,barrier-unconfident,eating late night snacks,Psychosocial Factors,Behavior/Biological,No,No,No,multiple weeks to a month,,weekly,,,It was a temporary feel good and not healtho,N/A,Emotional,,,its empty calories and no time to exercise,Try not to eat after 10pm,Changed environment,,,,,,
S76,S79,goal2,S76goal2,,circ1,finding an adjunct faculty position,Work/Career,circ1,S76goal2circ1,Long term,,Internal - Feelings and thoughts,No,,barrier-unconfident,Too tired to apply for open positions,Behaviors and Biological Factors,Behavior/Biological,No,No,No,multiple weeks to a month,,weekly,,,felt frustrated about the numerous rejections,None,Emotional,,,NA,I would check emails from.job boards more often,Changed quantity,,,,,,
S76,S79,goal1,S76goal1,,circ1,Weight loss,Weight management,circ1,S76goal1circ1,Long term,,Internal - Feelings and thoughts,No,,barrier-unconfident,No desire to exercise after work,Behaviors and Biological Factors,Psychosocial,No,No,No,multiple days to a week,,weekly,,,feel sluggish and stiff,lack of energy,Emotional,Physical,,N/A,I decided to take a short walk after work,Rescheduled,,,,,,
S76,S79,goal2,S76goal2,,circ2,finding an adjunct faculty position,Work/Career,circ2,S76goal2circ2,Long term,,Internal - Feelings and thoughts,No,,barrier-unconfident,feeling frustrated by the process,Psychosocial Factors,Psychosocial,No,No,No,multiple days to a week,,weekly,,,felt like a failure,keep trying and remain hopeful,Emotional,,,none,Work toward overcoming being discouraged by rejections,Changed thoughts or belief,,,,,,
S77,S80,goal1,S77goal1,,circ2,Reduce my A1C glucose level to below 7.0.,Nutrition,circ2,S77goal1circ2,Long term,,Diet,No,,barrier-unconfident,Did not focus on diet,Behaviors and Biological Factors,Behavior/Biological,No,No,No,more than half a day to a day,,daily,,,More stress,Exercised more. Took more blood glucose readings.,Emotional,Logistical,,"I had to watch my diet more closely, which fixed me to make more changes in response to my blood glucose levels.",I had to mute closely monitor my blood sugar levels and responded when levels were high.,Other,,,,,,
S77,S80,goal1,S77goal1,,circ1,Reduce my A1C glucose level to below 7.0.,Nutrition,circ1,S77goal1circ1,Long term,,Health,No,,event-external,Change in medication,Behaviors and Biological Factors,Behavior/Biological,No,No,No,multiple months to a year,,weekly,,,Created more stress in maintaining my blood glucose levels.,Walked and exercised now. Watched my diet.,Emotional,Logistical,,"I had to start my new medication at Lowe's dosage, which made it difficult to control my blood sugar.",I switched to a new medication and am now at recommended dose.,Changed strategy-other,,,,,,
S31,S32,goal1,S31goal1,,circ1,Saving,Financial Stability/Safety,circ1,S31goal1circ1,Long term,,Finances,No,,barrier,High cost of living,Socioeconomic and Political Context,Socioeconomic/Political,No,No,Yes,multiple weeks to a month,,yearly or less,,,It made living somewhat difficult,,Financial,,,Prices of item in the supermarkets,Started buying more important stuff,No response,,,,,,
S77,S80,goal2,S77goal2,,circ1,Reduce weight to below 168 lbs.,Weight management,circ1,S77goal2circ1,Long term,,Travel,No,,event-external,Vacation,Psychosocial Factors,Living/Working,No,No,No,multiple days to a week,,daily,,,More stress,Tried to eat healthy during breakfast,Emotional,Logistical,,Unable or chose not to modify diet.,Ate for enjoyment on vacation and figured on diet when I returned home.,Paused,,,,,,
S42,S44,goal1,S42goal1,,circ1,Looking for a home for my new family.,Housing,circ1,S42goal1circ1,Long term,,Finances,No,,barrier-unconfident,Houses are expensive.,Socioeconomic and Political Context,Socioeconomic/Political,No,No,Yes,longer than a year,"single big instance of disruption, more of a barrier, time scale of months, also out of control somewhat",daily,not okay,non-recurring,We’ve had to live in less than desirable condition at my parents home.,,Financial,,,We couldn’t afford the mortgage or down payment on any houses.,We looked into affordable housing.,Changed quantity,,,,,,
S78,S81,goal1,S78goal1,,circ1,keeping my blood presure down,Manage chronic condition,circ1,S78goal1circ1,Medium term,,No disruption,No,,not enough information,na,Psychosocial Factors,No response,,,,No response,,No response,,,did not,none,No response,,,no disruption,taking my blood pressure med eatting right,No response,,,,,,
S78,S81,goal3,S78goal3,,circ1,clearing my farm,Cleaning/organizing,circ1,S78goal3circ1,Medium term,,Technical,No,,event-external,my tractor broke down/ can not cleat trees without tractor,Psychosocial Factors,Living/Working,No,No,No,multiple months to a year,,daily,not okay,non-recurring,none,none,No response,,,I have to wait until my tractor is repaired,I have to wait until my tractor is repaired,No change,,,,,,
S42,S44,goal1,S42goal1,,circ2,Looking for a home for my new family.,Housing,circ2,S42goal1circ2,Long term,,Finances,No,,barrier-unconfident,I make too much to qualify for an affordable rental.,Socioeconomic and Political Context,Socioeconomic/Political,No,No,No,multiple months to a year,,yearly or less,,,None.,None,No response,,,We couldn’t get a desirable rental that we wanted.,Nothing.,No change,,,,,,
S79,S83,goal1,S79goal1,,circ1,going for a retirement trip,Recreation,circ1,S79goal1circ1,Medium term,,No disruption,No,,not enough information,NA,,No response,,,,No response,,No response,,,none,none,No response,,,na,No reason,No response,,,,,,
S80,S84,goal1,S80goal1,,circ2,Reading one book related to personal development or a new skill each month to support ongoing learning and growth.,Education/Learning,circ2,S80goal1circ2,Medium term,,Technical,No,,event-external,"Encountered a technical issue with an e-reader or reading app, which disrupted access to the book",Psychosocial Factors,Living/Working,No,No,No,an hour or less,,every 6 months,,,"It caused some frustration and increased my stress as I struggled to find a solution, which impacted my overall sense of productivity and relaxation","I spent time troubleshooting the app or device, which involved searching for solutions online or contacting customer support",Emotional,Logistical,,"The technical issue delayed my progress with the current book, making it difficult to keep up with my reading goal for the month","I rescheduled my reading goal for the month to allow more time to catch up later. I also decided to break down the reading into smaller, more manageable chunks to fit into brief breaks during busy days",Rescheduled,,,,,,
S80,S84,goal2,S80goal2,,circ1,Reconnecting with a friend or family member every two weeks to strengthen social connections and maintain meaningful relationships,Social connection,circ1,S80goal2circ1,Medium term,,Social interaction - other,No,,event-external,"Had an unexpected family emergency that required immediate attention, leaving little time for personal communication",Social and Community Networks,Social/Community,No,No,No,multiple weeks to a month,,monthly,,,"It caused significant stress and anxiety, which made me feel overwhelmed and guilty about not being able to keep up with my social connections.","I had to handle urgent family matters, which included coordinating with other family members and managing logistics related to the emergency.",Emotional,Logistical,,"The emergency diverted my focus and time away from maintaining regular contact with friends and family, leading to delays in reaching out",I rescheduled my planned reconnections to later in the month and prioritized immediate family needs. I also adjusted the frequency of outreach to fit my new schedule.,Rescheduled,,,,,,
S80,S84,goal4,S80goal4,,circ1,Completing a 30-minute workout session at least four times a week to enhance physical fitness and overall health.,Physical Activity,circ1,S80goal4circ1,Medium term,,Pain,No,,event-internal,"Felt unusually fatigued due to a poor night's sleep, which made it difficult to complete the workout session",Behaviors and Biological Factors,Behavior/Biological,No,No,No,multiple days to a week,,weekly,,,"The fatigue contributed to increased irritability and a sense of frustration, as well as physical discomfort from lack of rest, which impacted my overall mood and productivity","I focused on getting extra rest and adjusted my schedule to accommodate a longer recovery period, including taking it easy and possibly delaying other planned activities to manage the fatigue.",Emotional,Logistical,Physical,"The fatigue prevented me from having the energy and motivation needed to complete the workout session, causing me to miss a scheduled session and potentially fall behind on my weekly fitness goal",,Skipped,,,,,,
S80,S84,goal3,S80goal3,,circ1,Engaging in daily mindfulness meditation for 10 minutes to improve mental clarity and reduce stress,Mental health and wellbeing,circ1,S80goal3circ1,Medium term,,Surroundings,No,,event-external,"Had a noisy environment due to ongoing home repairs, which made it difficult to find a quiet space for meditation.",Psychosocial Factors,Living/Working,No,No,No,multiple days to a week,,weekly,,,"It increased my stress and frustration, making it harder to find relaxation and contributing to a sense of irritation and distraction.","I had to find alternative quiet spaces or times to meditate, and spent time adjusting my meditation setup to accommodate the noise.",Emotional,Logistical,,"The constant noise made it challenging to focus and create a calming atmosphere, which disrupted my ability to fully engage in and benefit from the meditation practice.",I modified my practice by using noise-canceling headphones and guided meditation apps that can help block out background noise. I also adjusted the timing to meditate during quieter moments of the day,Changed environment,,,,,,
S80,S84,goal1,S80goal1,,circ1,Reading one book related to personal development or a new skill each month to support ongoing learning and growth.,Education/Learning,circ1,S80goal1circ1,Medium term,,Work,No,,event-external,"Had a sudden work deadline that required extra hours, leaving little time for reading.",Living and Working Conditions,Living/Working,No,No,No,multiple weeks to a month,,weekly,,,The lack of time for relaxation and personal interests contributed to feelings of frustration and exhaustion.,I had to stay late at the office and also had to reschedule other personal commitments to meet the work deadline.,Emotional,Logistical,,"The sudden work deadline meant I had to prioritize work tasks over personal reading, leading to a delay in achieving my reading goal for the month","I rescheduled my reading goal for the month to allow more time to catch up later. I also decided to break down the reading into smaller, more manageable chunks to fit into brief breaks during busy days.",Rescheduled,,,,,,
S81,S85,goal2,S81goal2,,circ1,30 min of meditation with no disturbance to improve my mental well being,Mental health and wellbeing,circ1,S81goal2circ1,Medium term,,No disruption,No,,not enough information,NA,,No response,,,,No response,,No response,,,I had no disruption. If anything my meditation helped me with my anxiety from not being able to put the full amount I usually put each week,na,No labor- positive disruption,,,na,No disturbance at all. This one thing I take out the time of the day for myself. Because this time is much needed for my overall mental well-being.,No change,,,,,,
S42,S44,goal1,S42goal1,,circ3,Looking for a home for my new family.,Housing,circ3,S42goal1circ3,Long term,,Finances,No,,barrier-unconfident,The houses in my budget range are small.,Psychosocial Factors --> more of a cultural perception/ value and housing/land use,Socioeconomic/Political,No,No,No,longer than a year,"single big instance of disruption, more of a barrier, time scale of months, also out of control somewhat",daily,not okay,non-recurring,None,We looked for a serviceable sized place.,No response,,,We’ve had to settle on our desires of a home.,We looked for houses a bit further or ones through affordable housing.,Changed quantity,,,,,,
S81,S85,goal3,S81goal3,,circ1,"3x 10 min stretches starting from morning when I wake up to noon around lunch time, and one before I go to bed to keep my body flexible and not so tight",Physical Activity,circ1,S81goal3circ1,Medium term,,Work,No,,event-external,"Maybe one time around lunch time when I had a short lunch and I was on a tight schedule, rushing to eat and go back to work",Living and Working Conditions,Living/Working,No,No,No,No response,,No response,,,,,No response,,,,,No response,,,,,,
S82,S86,goal2,S82goal2,,circ1,Gardening on weekends to stay active and relax.,Recreation,circ1,S82goal2circ1,Medium term,,No disruption,No,,not enough information,,,No response,,,,No response,,No response,,,,,No response,,,,,No response,,,,,,
S82,S86,goal1,S82goal1,,circ2,Practicing mindfulness daily to improve mental health.,Mental health and wellbeing,circ2,S82goal1circ2,Medium term,,Social interaction - other,No,,event-external,Unexpected family visit disrupted routine.,Social and Community Networks,Social/Community,No,No,No,multiple days to a week,,weekly,,,Felt slightly overwhelmed with less time for self-care.,Spent extra time socializing with family.,Emotional,,,None,I shortened my mindfulness session to 10 minutes.,Changed quantity,,,,,,
S82,S86,goal1,S82goal1,,circ1,Practicing mindfulness daily to improve mental health.,Mental health and wellbeing,circ1,S82goal1circ1,Medium term,,Work,No,,barrier-unconfident,Worked late and felt too exhausted.,Psychosocial Factors,Living/Working,No,No,No,more than an hour to half a day,,daily,,,Felt slightly guilty for not following through.,None,Emotional,,,None,I rescheduled mindfulness practice for the next morning.,Rescheduled,,,,,,
S83,S87,goal1,S83goal1,,circ2,Write in my journal at least 4 times a week.,Mental health and wellbeing,circ2,S83goal1circ2,Medium term,,Social interaction - other,No,,event-external,Had plans with friends so personal free time was more limited.,Social and Community Networks,Social/Community,No,No,No,more than an hour to half a day,,weekly,,,I felt refreshed being around people and spending time with good people so didn't need the mental reset of writing.,I was able to write about my time with others and the thoughts and feelings that came up during that time the next time I journaled.,Emotional,Logistical,,I was able to have fun with others and enjoy myself.,I didn't spend time and energy writing at all.,Skipped,,,,,,
S83,S87,goal1,S83goal1,,circ1,Write in my journal at least 4 times a week.,Mental health and wellbeing,circ1,S83goal1circ1,Medium term,r25,Work,No,,event-external,Had to work on the weekend and came home late.,Living and Working Conditions,Living/Working,Yes,No,No,more than an hour to half a day,,weekly,,,Didn't feel as refreshed and had more of my mental burden kept inside.,"Wrote more than one entry the next day at different points in the day, which I don't usually do.",Emotional,Logistical,,Didn't have enough time and mental space to write for a long period of time because I had already been drained throughout the day.,I was only able to journal for 5 minutes instead of my usual 15-20 and wasn't able to go as deep.,Changed quantity,,,,,,
S83,S87,goal2,S83goal2,,circ1,Lose approximately two pounds a week for the next month.,Weight management,circ1,S83goal2circ1,Medium term,r25,Work,No,,event-external,Had a busy day at work so wasn't able to cook.,Living and Working Conditions,Living/Working,Yes,No,No,more than an hour to half a day,,weekly,,,"It was nice not to have to put effort in to eat, but I paid for it later with more mental anguish over the wasted calories and overeating.",I had to be more restrictive with my food later in the week to try and adjust.,Emotional,Logistical,,I ate more calories than intended and budgeted for.,I ate out with fast food and didn't know the calorie count as well.,Skipped,,,,,,
S83,S87,goal2,S83goal2,,circ2,Lose approximately two pounds a week for the next month.,Weight management,circ2,S83goal2circ2,Medium term,r25,Work,Yes,,event-external,Wasn't able to exercise as much because work ran long.,Behaviors and Biological Factors,Living/Working,Yes,No,No,an hour or less,,weekly,,,I felt more tense and gross and like I didn't have willpower.,I felt less motivated to keep working out and had to push myself harder to get up and exercise.,Emotional,,,I wasn't able to move my body and get out the tension of the day and work towards treating it right.,I was only able to do an active workout for 10 minutes instead of 30.,Changed quantity,,,,,,
S42,S44,goal1,S42goal1,,circ4,Looking for a home for my new family.,Housing,circ4,S42goal1circ4,Long term,,Finances,No,,barrier-unconfident,The houses in my budget range are far.,Psychosocial Factors--> more of a cultural perception/ value and housing/land use,Socioeconomic/Political,No,No,No,longer than a year,"single big instance of disruption, more of a barrier, time scale of months, also out of control somewhat",daily,not okay,non-recurring,None,Pretty much just settle.,No response,,,We’ve had to settle.,We decided to cope with the idea of moving far.,Changed thoughts or belief,,,,,,
S43,S45,goal1,S43goal1,,circ1,To get a home,Housing,circ1,S43goal1circ1,Long term,,Finances,No,,not enough information,Price of concrete was too expensive,Socioeconomic and Political Context,Socioeconomic/Political,No,No,No,multiple months to a year,,yearly or less,,,It was very frustrating for me because I’m living in a tent that I can’t even stand up in and I’m sick of this life.,,Emotional,,,"I was hoping to be able to afford a 1,000 sq ft slab, but after checking the price, I realized I need more money.",I have decided to save more money in order to afford the concrete.,Changed quantity,,,,,,
S84,S88,goal2,S84goal2,,circ1,applying for jobs every week,Work/Career,circ1,S84goal2circ1,Medium term,,Work,No,,barrier-unconfident,unexpected increase in job workload,Living and Working Conditions,Living/Working,No,No,No,multiple months to a year,,every 6 months,,,increased anxiety,none,Emotional,,,none,my increased workload reduced the time i had in the day,Changed quantity,,,,,,
S84,S88,goal3,S84goal3,,circ1,working out everyday,Physical Activity,circ1,S84goal3circ1,Medium term,,Caregiving,No,,barrier-unconfident,changes in childcare schedules.,Social and Community Networks,Social/Community,No,No,No,multiple months to a year,,every 6 months,,,none,none,No response,,,none,my ability and time to workout was significantly reduced.,Changed quantity,,,,,,
S85,S89,goal1,S85goal1,,circ1,Eat healthier,Nutrition,circ1,S85goal1circ1,Medium term,,Internal - Feelings and thoughts,No,,barrier-unconfident,tiredness,Behaviors and Biological Factors,Behavior/Biological,No,No,No,more than half a day to a day,,weekly,,,made me feel like I could not cook or exercise,napping and eating,Emotional,,,Made me order takeout,I limted how much i ate out,Changed quantity,,,,,,
S85,S89,goal2,S85goal2,,circ1,Exercise more,Physical Activity,circ1,S85goal2circ1,Medium term,,Pain,No,,barrier-unconfident,soreness,Psychosocial Factors,Behavior/Biological,No,No,No,multiple days to a week,,every other week,,,makes me feel achy,Resting and relaxing,Physical,,,Makes me want to rest,I exercise less frequently,Changed quantity,,,,,,
S48,S50,goal3,S48goal3,,circ1,financial wellness,Financial Stability/Safety,circ1,S48goal3circ1,Long term,,Finances,No,,barrier-unconfident,utility bills are high,Psychosocial Factors,Socioeconomic/Political,No,No,No,multiple months to a year,,monthly,,,worried about having money to be able to buy grocerys,na,Financial,,,electric was unusually high this month,i just paid the bill,No change,,,,,,
S86,S90,goal1,S86goal1,,circ2,saving up for a house,Housing,circ2,S86goal1circ2,Long term,,Work,No,,barrier-unconfident,school work,Living and Working Conditions,Living/Working,No,No,No,multiple days to a week,,monthly,,,"mentally, i am easily overwhelmed especially with school",i try to prioritize time for myself,Emotional,,,time spent in school is less time for working towards saving for a house,less time to focus/ work for saving for a house sue to school and its workload,Paused,,,,,,
S87,S92,goal3,S87goal3,,circ1,Maintaining a healthy diet so that I can perform well academically,Nutrition,circ1,S87goal3circ1,Aspirational,,Diet,Yes,,event-external,"school started, so my eating options are a lot more limited",Living and Working Conditions,Living/Working,No,No,No,No response,,No response,,,,,No response,,,,,No response,,,,,,
S87,S92,goal1,S87goal1,,circ2,Save up $25-30k to buy a car by the end of next summer,Shopping,circ2,S87goal1circ2,Long term,,Entertainment,No,,event-internal,I learned of a concert that I would really love to go to,Psychosocial Factors,Behavior/Biological,No,No,No,multiple weeks to a month,,yearly or less,,,na,na,No response,,,"It would be costly to go because I would want to buy a new phone for a better camera, buy concert tickets, a lightstick, and merch on-site","I did not change my goal, I still anticipate that I should be able to reach this goal",No change,,,,,,
S87,S92,goal2,S87goal2,,circ1,Keeping in touch with my best friend who is studying in Korea for the year,Social connection,circ1,S87goal2circ1,Aspirational,,No disruption,No,,not enough information,na,Psychosocial Factors,No response,,,,No response,,No response,,,na,na,No response,,,na,na,No response,,,,,,
S87,S92,goal4,S87goal4,S87goal1,circ1,Being on top of my schoolwork and studying to retain knowledge,Education/Learning,circ1,S87goal4circ1,Aspirational,,No disruption,No,,not enough information,na,Psychosocial Factors,No response,,,,No response,,No response,,,,,No response,,,,,No response,,,,,,
S87,S92,goal5,S87goal5,,circ1,Working on my jumping mechanics,Physical Activity,circ1,S87goal5circ1,Long term,,No disruption,No,,not enough information,na,Psychosocial Factors,No response,,,,No response,,No response,,,,,No response,,,,,No response,,,,,,
S87,S92,goal1,S87goal1,,circ1,Save up $25-30k to buy a car by the end of next summer,Shopping,circ1,S87goal1circ1,Long term,,Work,No,,event-external,"School started, so I cannot work as often as I could",Living and Working Conditions,Living/Working,No,No,No,multiple months to a year,,daily,not okay,non-recurring,na,na,No response,,,na,"Not much changed, as I knew I would be unable to work as much as I was able to",No change,,,,,,
S88,S93,goal2,S88goal2,,circ1,Get a part time job,Work/Career,circ1,S88goal2circ1,Medium term,,Technical,No,,event-external,Internet went out,Psychosocial Factors,Living/Working,No,No,No,multiple days to a week,,every 6 months,,,It annoyed me,I had to call Spectrum to figure out the internet issue,Emotional,Logistical,,I was unable to work on applications for part time jobs on campus for my new school,I skipped applying for a few days,Skipped,,,,,,
S88,S93,goal1,S88goal1,,circ2,Meditate at least once everyday,Mental health and wellbeing,circ2,S88goal1circ2,Medium term,,Surroundings,No,,barrier-unconfident,Lack of space,Psychosocial Factors,Living/Working,No,No,No,more than half a day to a day,,weekly,,,It annoyed me that I couldn't meditate that day,none,Emotional,,,I live with my parents and they were in the apartment the whole time I wanted to meditate alone,I ended up not meditating that day,Skipped,,,,,,
S88,S93,goal1,S88goal1,,circ1,Meditate at least once everyday,Mental health and wellbeing,circ1,S88goal1circ1,Medium term,,Work,No,,barrier-unconfident,Was busy with work,Living and Working Conditions,Living/Working,No,No,No,more than half a day to a day,,weekly,,,I felt a little guilty for not being able to meditate that day,I had to commute which took up more time,Emotional,Logistical,,I didn't have the time nor the energy to meditate after work,I ended up not meditating that day,Skipped,,,,,,
S89,S94,goal1,S89goal1,,circ1,Getting hired on full time at work.,Work/Career,circ1,S89goal1circ1,Aspirational,,Caregiving,No,,event-external,Welcoming a new child and missing work.,Social and Community Networks,Social/Community,No,Yes,No,multiple days to a week,,yearly or less,,,It made me very happy but also stressed financially,Learning new routines,Emotional,Logistical,,My girlfriend needed a lot of help post partum so I missed work to help.,Learning new routines,Paused,,,,,,
S89,S94,goal3,S89goal3,,circ2,Getting my drivers license.,Cleaning/organizing,circ2,S89goal3circ2,Medium term,,Caregiving,Yes,,barrier-unconfident,Not enough time,Living and Working Conditions,Social/Community,No,No,No,longer than a year,multiple instances,daily,okay,recurring,Depressed,Na,Emotional,,,Not able to go to appts,Scheduled way in advance,No response,,,,,,
S89,S94,goal2,S89goal2,,circ1,Losing 30 lbs,Weight management,circ1,S89goal2circ1,Long term,,Diet,No,,barrier-unconfident,Eating badly,Psychosocial Factors,Behavior/Biological,No,No,No,multiple days to a week,,weekly,,,Made me sad,Fasting,Emotional,,,Made me gain weight,Meal planning,No response,,,,,,
S50,S52,goal2,S50goal2,,circ1,To insure that my retirement savings will last.,Financial Stability/Safety,circ1,S50goal2circ1,Long term,,Finances,No,,event-external,Interest rates declined,Psychosocial Factors,Socioeconomic/Political,,No,No,more than half a day to a day,,every 6 months,,,No effect,na,No response,,,Made it harder to maintain my goal,Started shopping financial institutions for better rates.,Substituted activity,,,,,,
S89,S94,goal4,S89goal4,,circ1,Improve my mental health,Mental health and wellbeing,circ1,S89goal4circ1,Long term,,No disruption,No,,not enough information,NA,,No response,,,,No response,,No response,,,NA,Na,No response,,,Na,Na,No response,,,,,,
S89,S94,goal1,S89goal1,,circ2,Getting hired on full time at work.,Work/Career,circ2,S89goal1circ2,Aspirational,,Work,No,,barrier-unconfident,Being late for work.,Living and Working Conditions,Living/Working,No,No,No,an hour or less,,monthly,,,It stressed me out,Show up on time and work hard,Emotional,,,It made me look unreliable,Started leaving earlier,Changed quantity,,,,,,
S89,S94,goal2,S89goal2,,circ2,Losing 30 lbs,Weight management,circ2,S89goal2circ2,Long term,,Social interaction - other,No,,barrier-unconfident,Eating more during celebrations,Psychosocial Factors,Social/Community,No,No,No,multiple months to a year,,monthly,,,Made me sad,Fasting,Emotional,,,Na,Stopped eating,No response,,,,,,
S90,S95,goal1,S90goal1,,circ1,standing at least 2 hours during the work day,Physical Activity,circ1,S90goal1circ1,Medium term,,Pain,No,,event-internal,my shoes hurt,Psychosocial Factors,Behavior/Biological,No,No,No,more than an hour to half a day,,weekly,,,made me want to sit more and ignore my goal,rub my feet as i read,Emotional,Physical,,"it was less comfortable to stand, so i found myself less likely to do it",i took my shoes off as often as possible,Changed environment,,,,,,
S90,S95,goal1,S90goal1,,circ2,standing at least 2 hours during the work day,Physical Activity,circ2,S90goal1circ2,Medium term,,Social interaction - other,No,,event-external,someone interrupts me and we end up talking while seated,Psychosocial Factors,Social/Community,No,No,No,multiple weeks to a month,,every other week,,,it just kept me seated and more likelyt ahn not results in additional work that distracts me,N/A,Emotional,,,i just stayed seated rather than standing up occassionally like i normally would,i stayed seated because i thought it would be weird to stand up mid conversation,Skipped,,,,,,
S90,S95,goal2,S90goal2,,circ1,drinking at least two water bottles during the work day,Nutrition,circ1,S90goal2circ1,Medium term,,Diet,No,,not enough information,the water jug is low or empty,Psychosocial Factors,Psychosocial,No,No,No,multiple days to a week,,monthly,,,i procrastinated drinking water,N/A,Emotional,,,sometimes i put off refilling my water bottle until i knew that someone else had changed the jug,i drank less water so i wouldn't have to change the jug,Skipped,,,,,,
S90,S95,goal1,S90goal1,,circ3,standing at least 2 hours during the work day,Physical Activity,circ3,S90goal1circ3,Medium term,,Work,No,,not enough information,I have to flip through a lot of papers,Psychosocial Factors,Living/Working,No,No,No,multiple days to a week,,weekly,,,just kept me seated longer,stretch occassionally,Physical,,,i have to sit while ilook through them,my standing desk doesnt have the same amount of surface areas as my regular desk so when i need to look through a lot of papers i either need to sit or bend over,Skipped,,,,,,
S91,S98,goal2,S91goal2,,circ2,Eat healthier,Nutrition,circ2,S91goal2circ2,Medium term,,Diet,No,,barrier-unconfident,Ordering out,Psychosocial Factors,Behavior/Biological,No,No,No,longer than a year,,weekly,,,Gain weight,NA,Physical,,,Forces myself to eat what I ordered and food goes to waste in fridge,Buy ingredients,No response,,,,,,
S91,S98,goal1,S91goal1,,circ2,Lose weight and become stronger,Weight management,circ2,S91goal1circ2,Long term,,Internal - Feelings and thoughts,No,,barrier,Lack of motivation to get out of bed and go,Behaviors and Biological Factors,Psychosocial,No,No,No,longer than a year,,weekly,,,Makes me more unhealthy and less strong and mentally focused,NA,Emotional,,,Makes it tough for me to want to go or sign up for fitness classes,Be financially tied to a fitness class,Changed/ adopted support,,,,,,
S91,S98,goal1,S91goal1,,circ1,Lose weight and become stronger,Weight management,circ1,S91goal1circ1,Long term,r26,Social interaction - other,No,,barrier-unconfident,Living with partner who has a different diet and cooks often,Behaviors and Biological Factors,Social/Community,Yes,No,Yes,longer than a year,,weekly,,,Made me less self-reliant,Buy some ingredients myself,Emotional,,,They cook majority of the time and due to my time constraints it is easier to just eat what they make or order,I signed up for fitness classes myself to take charge of exercise at least,Changed/ adopted support,,,,,,
S91,S98,goal2,S91goal2,S91goal1,circ1,Eat healthier,Nutrition,circ1,S91goal2circ1,Medium term,r26,Social interaction - other,Yes,,barrier-unconfident,Boyfriend cooking,Psychosocial Factors,Social/Community,Yes,No,No,longer than a year,multiple instances,daily,okay,recurring,NA,NA,No response,,,NA,Cook some things myself occassionally or order out,Substituted activity,,,,,,
S92,S99,goal1,S92goal1,,circ2,Losing weight,Weight management,circ2,S92goal1circ2,Long term,,Internal - Feelings and thoughts,No,demotivated/low motivation,barrier-unconfident,Not trying to keep good habits due to stress,Psychosocial Factors,Psychosocial,No,No,No,multiple weeks to a month,,daily,,,Not trying puts me in the grave that means my health with deteriorate and I will be able to exercise which I was my body was stiffen then I'll get fatter// It affects my health I'm obese I have diabetes high blood pressure my cholesterol is high and it hurts my joints I ate everywhere,Walking in all kinds of exercise no matter how small how big it is,Physical,Emotional,,When I don't try my health gets worse I get heavier I get fatter and I can't exercise which means my movement is limited/ It disrupts my goal cuz I'm not changing as far as where I'm supposed to be if I do nothing nothing happens just gets worse from there,Trying to find little things that I can keep doing without putting huge effort kind of like building up to,Changed quantity,,,,,,
S92,S99,goal3,S92goal3,,circ2,Getting a mental health back in order,Mental health and wellbeing,circ2,S92goal3circ2,Long term,,Internal - Feelings and thoughts,No,,barrier-unconfident,Having thoughts about being a failure and not succeeding in life,Psychosocial Factors,Psychosocial,No,No,No,multiple weeks to a month,,daily,,,This kind of thing affects my health all the way around it makes me more sicker and it makes me not want to try,N/A,Physical,,,Listening to speakers and actually doing a little bit more walking and reflecting on life in nature,Change the way of thinking positivity is always the key affirmation are always good things it rebuilds my confidence,Changed/ adopted support,,,,,,
S92,S99,goal1,S92goal1,,circ4,Losing weight,Weight management,circ4,S92goal1circ4,Long term,,Social interactions - negative,No,,barrier-unconfident,Letting people discourage me from losing weight or not helping me at all,Psychosocial Factors,Psychosocial,No,No,No,multiple weeks to a month,,daily,,,It affects my well-being cuz I get sick and I'm not able to bounce back like I used to,N/A,Emotional,,,When I get to that point I just don't try to lose weight I don't I just let them get into my mind,People don't know my health issues tell me I don't need to lose weight I look pretty healthy maybe you lose a few pounds that's it,Skipped,,,,,,
S93,S100,goal1,S93goal1,,circ1,Workout 4 times a week,Physical Activity,circ1,S93goal1circ1,Medium term,,Social interaction - other,No,,event-external,Spending time with family all day,Social and Community Networks,Social/Community,No,No,No,an hour or less,,monthly,,,increased wellbeing,decompress afterward by relaxing,Emotional,,,I did not have the right environment,I skipped the workout,Skipped,,,,,,
